gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4967690489	8e52f35a-2522-4865-8361-5c249310a7cf	BG02_PaAig_27042023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.63	3.874	100.0						2023-04-26T10:00/2023-04-27T10:00		4	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690488	8e52f35a-2522-4865-8361-5c249310a7cf	BG04_PaJdP_20042023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.615	3.871	100.0						2023-04-19T10:00/2023-04-20T10:00		4	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.344Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690487	8e52f35a-2522-4865-8361-5c249310a7cf	BG01_PaAig_31052023_ALBO_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	6	3b5161b7-9831-4444-9822-a60df4df107d	43.629	3.874	100.0						2023-05-30T14:10/2023-05-31T14:10		5	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690486	8e52f35a-2522-4865-8361-5c249310a7cf	BG23_UrbDid_29062023_CUHOR_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex hortensis		SPECIES	Culex hortensis Ficalbi, 1889	Culex hortensis Ficalbi, 1889		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.613	3.869	100.0						2023-06-28T08:38/2023-06-29T08:38		6	2023	1653124	1653124	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690485	8e52f35a-2522-4865-8361-5c249310a7cf	BG11_ZPLem_28062023_CULLA_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta longiareolata		SPECIES	Culiseta longiareolata (Macquart, 1838)	Culiseta longiareolata (Macquart, 1838)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.594	3.875	100.0						2023-06-27T12:30/2023-06-28T12:30		6	2023	1649571	1649571	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690484	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_03052023_CUHOR_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex hortensis		SPECIES	Culex hortensis Ficalbi, 1889	Culex hortensis Ficalbi, 1889		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-05-02T08:30/2023-05-03T08:30		5	2023	1653124	1653124	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690483	8e52f35a-2522-4865-8361-5c249310a7cf	BG12_ZPLSou_04052023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.626	3.845	100.0						2023-05-03T13:24/2023-05-04T13:24		5	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690482	8e52f35a-2522-4865-8361-5c249310a7cf	BG01_PaAig_31052023_ALBO_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	5	3b5161b7-9831-4444-9822-a60df4df107d	43.629	3.874	100.0						2023-05-30T14:10/2023-05-31T14:10		5	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.341Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690481	8e52f35a-2522-4865-8361-5c249310a7cf	BG16_ZPAig_20092023_CULLA_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta longiareolata		SPECIES	Culiseta longiareolata (Macquart, 1838)	Culiseta longiareolata (Macquart, 1838)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.6	3.89	100.0						2023-09-19T11:15/2023-09-20T11:15		9	2023	1649571	1649571	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690480	8e52f35a-2522-4865-8361-5c249310a7cf	BG03_PaJdP_28062023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.614	3.871	100.0						2023-06-27T09:34/2023-06-28T09:34		6	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
